time,offerType
2022-03-08 11:00:24,1
2022-03-08 11:00:38,3
2022-03-08 11:01:00,2
2022-03-08 11:01:37,2
2022-03-08 11:02:37,3
2022-03-08 11:02:57,2
2022-03-08 11:03:16,3
2022-03-08 11:03:35,2
2022-03-08 11:04:33,3
2022-03-08 11:06:26,2
2022-03-08 11:07:59,3
2022-03-08 11:10:37,3
2022-03-08 11:10:45,2
2022-03-08 11:11:09,2
2022-03-08 11:12:28,2
2022-03-08 11:12:48,2
2022-03-08 11:13:32,2
2022-03-08 11:14:09,3
2022-03-08 11:14:26,2
2022-03-08 11:14:31,3
2022-03-08 11:14:55,2
2022-03-08 11:15:12,0
2022-03-08 11:15:42,2
2022-03-08 11:16:25,3
2022-03-08 11:16:34,3
2022-03-08 11:17:15,2
2022-03-08 11:17:21,2
2022-03-08 11:17:31,2
2022-03-08 11:19:07,2
2022-03-08 11:19:23,2
2022-03-08 11:19:52,3
2022-03-08 11:20:18,3
2022-03-08 11:20:41,2
2022-03-08 11:21:47,2
2022-03-08 11:23:14,3
2022-03-08 11:24:15,3
2022-03-08 11:24:47,3
2022-03-08 11:24:57,3
2022-03-08 11:25:13,2
2022-03-08 11:26:44,2
2022-03-08 11:26:48,2
2022-03-08 11:27:54,3
2022-03-08 11:28:21,2
2022-03-08 11:29:05,3
2022-03-08 11:30:35,3
2022-03-08 11:33:25,2
2022-03-08 11:34:25,3
2022-03-08 11:34:36,2
2022-03-08 11:35:20,2
2022-03-08 11:43:26,0
2022-03-08 11:46:14,2
2022-03-08 11:46:26,2
2022-03-08 11:47:26,3
2022-03-08 11:48:13,3
2022-03-08 11:50:25,3
2022-03-08 11:58:56,3
2022-03-08 12:00:11,3
2022-03-08 12:00:47,2
2022-03-08 12:04:54,3
2022-03-08 12:06:43,3
2022-03-08 12:06:51,3
2022-03-08 12:08:28,2
2022-03-08 12:10:19,3
2022-03-08 12:10:58,3
2022-03-08 12:12:27,2
2022-03-08 12:12:34,2
2022-03-08 12:25:46,2
2022-03-08 12:32:56,3
2022-03-08 12:33:09,2
2022-03-08 12:35:10,2
2022-03-08 12:36:07,2
2022-03-08 12:36:16,2
2022-03-08 12:36:30,3
2022-03-08 12:38:46,2
2022-03-08 12:39:46,1
2022-03-08 12:39:51,2
2022-03-08 12:40:10,3
2022-03-08 12:42:27,2
2022-03-08 12:43:35,2
2022-03-08 12:45:10,2
2022-03-08 12:46:53,2
2022-03-08 12:47:06,3
2022-03-08 12:47:53,1
2022-03-08 12:49:24,3
2022-03-08 12:52:08,2
2022-03-08 12:54:40,2
2022-03-08 12:56:06,0
2022-03-08 12:58:12,2
2022-03-08 13:00:02,3
2022-03-08 13:05:29,1
2022-03-08 13:08:03,2
2022-03-08 13:11:52,2
2022-03-08 13:14:57,2
2022-03-08 13:16:55,3
2022-03-08 13:26:57,0
2022-03-08 13:31:20,2
2022-03-08 13:35:30,3
2022-03-08 13:35:56,2
2022-03-08 13:40:09,3
2022-03-08 13:41:59,3
2022-03-08 13:43:06,3
2022-03-08 13:47:33,2
2022-03-08 13:47:47,3
2022-03-08 13:49:12,2
2022-03-08 13:49:17,3
2022-03-08 13:49:27,3
2022-03-08 13:50:26,0
2022-03-08 13:52:50,3
2022-03-08 13:54:14,2
2022-03-08 13:57:33,2
2022-03-08 13:57:48,2
2022-03-08 14:02:37,2
2022-03-08 14:02:38,2
2022-03-08 14:04:07,2
2022-03-08 14:06:48,0
2022-03-08 14:07:32,2
2022-03-08 14:08:27,2
2022-03-08 14:08:56,2
2022-03-08 14:09:34,2
2022-03-08 14:09:46,3
2022-03-08 14:10:34,2
2022-03-08 14:11:40,1
2022-03-08 14:13:04,2
2022-03-08 14:13:16,3
2022-03-08 14:13:17,2
2022-03-08 14:13:36,3
2022-03-08 14:14:27,2
2022-03-08 14:14:58,3
2022-03-08 14:15:00,3
2022-03-08 14:16:06,2
2022-03-08 14:16:13,3
2022-03-08 14:16:24,2
2022-03-08 14:17:50,3
2022-03-08 14:19:13,1
2022-03-08 14:20:06,2
2022-03-08 14:20:28,2
2022-03-08 14:20:48,2
2022-03-08 14:22:30,2
2022-03-08 14:22:52,2
2022-03-08 14:22:57,3
2022-03-08 14:23:12,2
2022-03-08 14:24:40,2
2022-03-08 14:24:57,2
2022-03-08 14:25:38,2
2022-03-08 14:25:44,2
2022-03-08 14:26:48,2
2022-03-08 14:26:52,3
2022-03-08 14:26:55,2
2022-03-08 14:31:32,3
2022-03-08 14:31:58,2
2022-03-08 14:33:14,2
2022-03-08 14:33:29,0
2022-03-08 14:36:05,2
2022-03-08 14:37:18,2
2022-03-08 14:38:13,3
2022-03-08 14:39:37,3
2022-03-08 14:40:25,3
2022-03-08 14:40:36,3
2022-03-08 14:40:52,3
2022-03-08 14:40:53,3
2022-03-08 14:42:17,2
2022-03-08 14:43:00,2
2022-03-08 14:43:20,3
2022-03-08 14:45:06,2
2022-03-08 14:45:18,2
2022-03-08 14:45:39,3
2022-03-08 14:46:49,1
2022-03-08 14:49:11,3
2022-03-08 14:49:18,2
